Date,Type,Symbol,Quantity,Price,Amount,Description
2026-07-20 16:00:00,Dividend,TSLY,0.0,,1.46,TIDAL TRUST II YIELD TSLA ETF
2026-07-20 16:00:00,Dividend,TSLY,0.057,25.74,-1.46,TIDAL TRUST II YIELD TSLA ETF
2026-07-16 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-07-15 16:00:00,Dividend,OXY,0.05,54.5,-2.71,OCCIDENTAL PETE CORP COM
2026-07-15 16:00:00,Dividend,OXY,0.0,,2.71,OCCIDENTAL PETE CORP COM
2026-07-15 16:00:00,Dividend,EPR,0.011,59.83,-0.63,EPR PROPERTIES SBI USD0.01
2026-07-15 16:00:00,Dividend,EPR,0.0,,0.63,EPR PROPERTIES SBI USD0.01
2026-07-13 16:00:00,Dividend,TSLY,0.056,27.5,-1.54,TIDAL TRUST II YIELD TSLA ETF
2026-07-13 16:00:00,Dividend,TSLY,0.0,,1.54,TIDAL TRUST II YIELD TSLA ETF
2026-07-09 16:00:00,Fee,TIGR,0.0,,-0.56,UP FINTECH HOLDING LIMITED SPON ADS EACH REP 15 ORD SHS CL A
2026-07-07 16:00:00,Dividend,TSLY,0.056,27.68,-1.55,TIDAL TRUST II YIELD TSLA ETF
2026-07-07 16:00:00,Dividend,TSLY,0.0,,1.55,TIDAL TRUST II YIELD TSLA ETF
2026-07-06 16:00:00,Adjustment,TME,16.0,8.81,-140.96,TENCENT MUSIC ENTERTAINMENT GROUP SPON ADS EACH REP 2 ORD SHS CL A
2026-07-02 16:00:00,Adjustment,CRWD,3.0,,581.94,CROWDSTRIKE HLDGS INC CL A
2026-07-01 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-06-30 16:00:00,Dividend,FDRXX,0.14,1.0,-0.14,FIDELITY GOVERNMENT CASH RESERVES
2026-06-30 16:00:00,Dividend,FDRXX,0.0,,0.14,FIDELITY GOVERNMENT CASH RESERVES
2026-06-29 16:00:00,Dividend,TSLY,0.055,26.41,-1.45,TIDAL TRUST II YIELD TSLA ETF
2026-06-29 16:00:00,Dividend,TSLY,0.0,,1.45,TIDAL TRUST II YIELD TSLA ETF
2026-06-25 16:00:00,Dividend,PYPL,0.01,42.55,-0.42,PAYPAL HLDGS INC COM
2026-06-25 16:00:00,Dividend,PYPL,0.0,,0.42,PAYPAL HLDGS INC COM
2026-06-24 16:00:00,Adjustment,DLO,17.0,12.34,-209.7,DLOCAL LTD COM USD0.002 CL A
2026-06-23 16:00:00,Dividend,TSLY,0.054,28.13,-1.51,TIDAL TRUST II YIELD TSLA ETF
2026-06-23 16:00:00,Dividend,TSLY,0.0,,1.51,TIDAL TRUST II YIELD TSLA ETF
2026-06-22 16:00:00,Fee,TCEHY,0.0,,-8.75,TENCENT HOLDINGS LIMITED UNSPON ADR
2026-06-22 16:00:00,Dividend,TCEHY,0.0,,84.36,TENCENT HOLDINGS LIMITED UNSPON ADR
2026-06-16 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-06-15 16:00:00,Dividend,TSLY,0.051,27.79,-1.43,TIDAL TRUST II YIELD TSLA ETF
2026-06-15 16:00:00,Dividend,TSLY,0.0,,1.43,TIDAL TRUST II YIELD TSLA ETF
2026-06-15 16:00:00,Dividend,GTX,0.002,33.89,-0.08,GARRETT MOTION INC COM USD0.001
2026-06-15 16:00:00,Dividend,GTX,0.0,,0.08,GARRETT MOTION INC COM USD0.001
2026-06-15 16:00:00,Dividend,EPR,0.01,60.45,-0.63,EPR PROPERTIES SBI USD0.01
2026-06-15 16:00:00,Dividend,EPR,0.0,,0.63,EPR PROPERTIES SBI USD0.01
2026-06-12 16:00:00,Dividend,DLO,8.297,12.11,-100.5,DLOCAL LTD COM USD0.002 CL A
2026-06-12 16:00:00,Dividend,DLO,0.0,,100.5,DLOCAL LTD COM USD0.002 CL A
2026-06-08 16:00:00,Dividend,TSLY,0.065,28.35,-1.85,TIDAL TRUST II YIELD TSLA ETF
2026-06-08 16:00:00,Dividend,TSLY,0.0,,1.85,TIDAL TRUST II YIELD TSLA ETF
2026-06-04 16:00:00,Dividend,CLPR,0.088,3.29,-0.29,CLIPPER RLTY INC COM
2026-06-04 16:00:00,Dividend,CLPR,0.0,,0.29,CLIPPER RLTY INC COM
2026-06-01 16:00:00,Dividend,TSLY,0.066,30.61,-2.02,TIDAL TRUST II YIELD TSLA ETF
2026-06-01 16:00:00,Dividend,TSLY,0.0,,2.02,TIDAL TRUST II YIELD TSLA ETF
2026-06-01 16:00:00,Adjustment,TIGR,28.0,5.09,-142.52,UP FINTECH HOLDING LIMITED SPON ADS EACH REP 15 ORD SHS CL A
2026-05-29 16:00:00,Dividend,FDRXX,0.09,1.0,-0.09,FIDELITY GOVERNMENT CASH RESERVES
2026-05-29 16:00:00,Dividend,FDRXX,0.0,,0.09,FIDELITY GOVERNMENT CASH RESERVES
2026-05-29 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-05-26 16:00:00,Dividend,TSLY,0.049,30.49,-1.48,TIDAL TRUST II YIELD TSLA ETF
2026-05-26 16:00:00,Dividend,TSLY,0.0,,1.48,TIDAL TRUST II YIELD TSLA ETF
2026-05-20 16:00:00,Adjustment,PYPL,3.0,43.0,-129.0,PAYPAL HLDGS INC COM
2026-05-20 16:00:00,Adjustment,BMBL,4.0,3.1,-12.4,BUMBLE INC COM CL A
2026-05-18 16:00:00,Dividend,TSLY,0.086,30.61,-2.62,TIDAL TRUST II YIELD TSLA ETF
2026-05-18 16:00:00,Dividend,TSLY,0.0,,2.62,TIDAL TRUST II YIELD TSLA ETF
2026-05-18 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-05-15 16:00:00,Dividend,EPR,0.011,58.36,-0.63,EPR PROPERTIES SBI USD0.01
2026-05-15 16:00:00,Dividend,EPR,0.0,,0.63,EPR PROPERTIES SBI USD0.01
2026-05-11 16:00:00,Dividend,TSLY,0.054,31.23,-1.7,TIDAL TRUST II YIELD TSLA ETF
2026-05-11 16:00:00,Dividend,TSLY,0.0,,1.7,TIDAL TRUST II YIELD TSLA ETF
2026-05-11 16:00:00,Adjustment,MBLY,1.0,9.21,-9.21,MOBILEYE GLOBAL INC COMMON CLASS A
2026-05-04 16:00:00,Dividend,TSLY,0.05,29.69,-1.49,TIDAL TRUST II YIELD TSLA ETF
2026-05-04 16:00:00,Dividend,TSLY,0.0,,1.49,TIDAL TRUST II YIELD TSLA ETF
2026-05-04 16:00:00,Adjustment,RBLX,3.0,47.08,-141.24,ROBLOX CORP CL A
2026-04-30 16:00:00,Dividend,FDRXX,0.03,1.0,-0.03,FIDELITY GOVERNMENT CASH RESERVES
2026-04-30 16:00:00,Dividend,FDRXX,0.0,,0.03,FIDELITY GOVERNMENT CASH RESERVES
2026-04-30 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-04-27 16:00:00,Dividend,TSLY,0.05,29.08,-1.46,TIDAL TRUST II YIELD TSLA ETF
2026-04-27 16:00:00,Dividend,TSLY,0.0,,1.46,TIDAL TRUST II YIELD TSLA ETF
2026-04-21 16:00:00,Adjustment,BYDDY,10.0,13.83,-138.31,BYD CO UNSP ADR EACH REPR 2 ORD
2026-04-21 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-04-20 16:00:00,Dividend,TSLY,0.042,30.91,-1.3,TIDAL TRUST II YIELD TSLA ETF
2026-04-20 16:00:00,Dividend,TSLY,0.0,,1.3,TIDAL TRUST II YIELD TSLA ETF
2026-04-15 16:00:00,Dividend,OXY,0.049,55.6,-2.7,OCCIDENTAL PETE CORP COM
2026-04-15 16:00:00,Dividend,OXY,0.0,,2.7,OCCIDENTAL PETE CORP COM
2026-04-15 16:00:00,Dividend,EPR,0.011,55.73,-0.62,EPR PROPERTIES SBI USD0.01
2026-04-15 16:00:00,Dividend,EPR,0.0,,0.62,EPR PROPERTIES SBI USD0.01
2026-04-13 16:00:00,Dividend,TSLY,0.045,27.81,-1.25,TIDAL TRUST II YIELD TSLA ETF
2026-04-13 16:00:00,Dividend,TSLY,0.0,,1.25,TIDAL TRUST II YIELD TSLA ETF
2026-04-09 16:00:00,Adjustment,NU,1.0,14.55,-14.55,NU HOLDINGS LTD USD0.000006666666 CLASS A
2026-04-07 16:00:00,Dividend,TSLY,0.043,28.73,-1.24,TIDAL TRUST II YIELD TSLA ETF
2026-04-07 16:00:00,Dividend,TSLY,0.0,,1.24,TIDAL TRUST II YIELD TSLA ETF
2026-03-31 16:00:00,Dividend,WU,0.107,8.77,-0.94,WESTERN UNION CO
2026-03-31 16:00:00,Dividend,WU,0.0,,0.94,WESTERN UNION CO
2026-03-31 16:00:00,Dividend,FDRXX,10.76,1.0,-10.76,FIDELITY GOVERNMENT CASH RESERVES
2026-03-31 16:00:00,Dividend,FDRXX,0.0,,10.76,FIDELITY GOVERNMENT CASH RESERVES
2026-03-31 16:00:00,Adjustment,WU,-0.107,8.77,0.94,WESTERN UNION CO
2026-03-31 16:00:00,Adjustment,WU,-4.0,8.77,35.06,WESTERN UNION CO
2026-03-31 16:00:00,Adjustment,MNDO,-36.0,1.16,41.79,MIND C.T.I COM STK ILS0.01
2026-03-31 16:00:00,Adjustment,DLO,16.0,13.16,-210.48,DLOCAL LTD COM USD0.002 CL A
2026-03-31 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-03-30 16:00:00,Dividend,TSLY,0.043,29.33,-1.25,TIDAL TRUST II YIELD TSLA ETF
2026-03-30 16:00:00,Dividend,TSLY,0.0,,1.25,TIDAL TRUST II YIELD TSLA ETF
2026-03-24 16:00:00,Adjustment,FOUR,-100.0,48.69,4868.5,SHIFT4 PMTS INC CL A
2026-03-24 16:00:00,Adjustment,CLPR,1.0,3.15,-3.15,CLIPPER RLTY INC COM
2026-03-24 16:00:00,Adjustment,DLO,391.0,12.76,-4990.57,DLOCAL LTD COM USD0.002 CL A
2026-03-24 16:00:00,Adjustment,DLO,2.0,12.78,-25.56,DLOCAL LTD COM USD0.002 CL A
2026-03-23 16:00:00,Dividend,TSLY,0.043,30.02,-1.29,TIDAL TRUST II YIELD TSLA ETF
2026-03-23 16:00:00,Dividend,TSLY,0.0,,1.29,TIDAL TRUST II YIELD TSLA ETF
2026-03-23 16:00:00,Adjustment,-FOUR260320P50,1.0,,0.0,PUT (FOUR) SHIFT4 PMTS INC CL AMAR 20 26 $50 (100 SHS)
2026-03-23 16:00:00,Adjustment,FOUR,100.0,50.0,-5000.0,SHIFT4 PMTS INC CL A
2026-03-19 16:00:00,Dividend,CLPR,0.063,3.03,-0.19,CLIPPER RLTY INC COM
2026-03-19 16:00:00,Dividend,CLPR,0.0,,0.19,CLIPPER RLTY INC COM
2026-03-16 16:00:00,Dividend,TSLY,0.042,31.68,-1.33,TIDAL TRUST II YIELD TSLA ETF
2026-03-16 16:00:00,Dividend,TSLY,0.0,,1.33,TIDAL TRUST II YIELD TSLA ETF
2026-03-16 16:00:00,Dividend,GTX,0.005,17.47,-0.08,GARRETT MOTION INC COM USD0.001
2026-03-16 16:00:00,Dividend,GTX,0.0,,0.08,GARRETT MOTION INC COM USD0.001
2026-03-16 16:00:00,Dividend,EPR,0.011,56.05,-0.59,EPR PROPERTIES SBI USD0.01
2026-03-16 16:00:00,Dividend,EPR,0.0,,0.59,EPR PROPERTIES SBI USD0.01
2026-03-13 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-03-09 16:00:00,Dividend,TSLY,0.043,31.97,-1.37,TIDAL TRUST II YIELD TSLA ETF
2026-03-09 16:00:00,Dividend,TSLY,0.0,,1.37,TIDAL TRUST II YIELD TSLA ETF
2026-03-02 16:00:00,Dividend,TSLY,0.045,32.35,-1.44,TIDAL TRUST II YIELD TSLA ETF
2026-03-02 16:00:00,Dividend,TSLY,0.0,,1.44,TIDAL TRUST II YIELD TSLA ETF
2026-03-02 16:00:00,Adjustment,NU,9.0,14.83,-133.47,NU HOLDINGS LTD USD0.000006666666 CLASS A
2026-03-02 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-02-27 16:00:00,Dividend,FDRXX,1.28,1.0,-1.28,FIDELITY GOVERNMENT CASH RESERVES
2026-02-27 16:00:00,Dividend,FDRXX,0.0,,1.28,FIDELITY GOVERNMENT CASH RESERVES
2026-02-26 16:00:00,Adjustment,ZS,1.0,165.26,-165.26,ZSCALER INC COM
2026-02-26 16:00:00,Adjustment,-FOUR260320P50,-1.0,3.5,349.33,PUT (FOUR) SHIFT4 PMTS INC CL AMAR 20 26 $50 (100 SHS)
2026-02-26 16:00:00,Adjustment,HIMS,20.0,15.65,-313.09,HIMS &HERS HEALTH INC COM CL A
2026-02-26 16:00:00,Adjustment,GTLB,10.0,28.1,-280.97,GITLAB INC CLASS A COM
2026-02-26 16:00:00,Adjustment,CRWD,1.0,382.56,-382.56,CROWDSTRIKE HLDGS INC CL A
2026-02-26 16:00:00,Adjustment,MNDO,35.0,1.22,-42.65,MIND C.T.I COM STK ILS0.01
2026-02-26 16:00:00,Adjustment,NU,88.0,15.38,-1353.44,NU HOLDINGS LTD USD0.000006666666 CLASS A
2026-02-26 16:00:00,Adjustment,DLO,5.0,12.7,-63.48,DLOCAL LTD COM USD0.002 CL A
2026-02-26 16:00:00,Adjustment,CASH,0.0,,7248.27,NO DESCRIPTION
2026-02-23 16:00:00,Dividend,TSLY,0.044,33.06,-1.46,TIDAL TRUST II YIELD TSLA ETF
2026-02-23 16:00:00,Dividend,TSLY,0.0,,1.46,TIDAL TRUST II YIELD TSLA ETF
2026-02-18 16:00:00,Adjustment,DLO,11.0,12.52,-137.72,DLOCAL LTD COM USD0.002 CL A
2026-02-17 16:00:00,Dividend,TSLY,0.044,33.77,-1.48,TIDAL TRUST II YIELD TSLA ETF
2026-02-17 16:00:00,Dividend,TSLY,0.0,,1.48,TIDAL TRUST II YIELD TSLA ETF
2026-02-17 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-02-09 16:00:00,Dividend,TSLY,0.044,33.51,-1.47,TIDAL TRUST II YIELD TSLA ETF
2026-02-09 16:00:00,Dividend,TSLY,0.0,,1.47,TIDAL TRUST II YIELD TSLA ETF
2026-02-03 16:00:00,Adjustment,WU,4.0,9.45,-37.8,WESTERN UNION CO
2026-02-03 16:00:00,Adjustment,EPR,2.0,53.7,-107.4,EPR PROPERTIES SBI USD0.01
2026-02-03 16:00:00,Adjustment,DLO,86.0,13.25,-1139.5,DLOCAL LTD COM USD0.002 CL A
2026-02-02 16:00:00,Dividend,TSLY,0.04,35.45,-1.43,TIDAL TRUST II YIELD TSLA ETF
2026-02-02 16:00:00,Dividend,TSLY,0.0,,1.43,TIDAL TRUST II YIELD TSLA ETF
2026-01-30 16:00:00,Dividend,FDRXX,1.28,1.0,-1.28,FIDELITY GOVERNMENT CASH RESERVES
2026-01-30 16:00:00,Dividend,FDRXX,0.0,,1.28,FIDELITY GOVERNMENT CASH RESERVES
2026-01-30 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-01-26 16:00:00,Dividend,TSLY,0.034,36.59,-1.25,TIDAL TRUST II YIELD TSLA ETF
2026-01-26 16:00:00,Dividend,TSLY,0.0,,1.25,TIDAL TRUST II YIELD TSLA ETF
2026-01-20 16:00:00,Dividend,TSLY,0.042,36.19,-1.51,TIDAL TRUST II YIELD TSLA ETF
2026-01-20 16:00:00,Dividend,TSLY,0.0,,1.51,TIDAL TRUST II YIELD TSLA ETF
2026-01-16 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-01-16 16:00:00,Adjustment,CASH,0.0,,1000.0,NO DESCRIPTION
2026-01-15 16:00:00,Dividend,OXY,0.056,44.53,-2.48,OCCIDENTAL PETE CORP COM
2026-01-15 16:00:00,Dividend,OXY,0.0,,2.48,OCCIDENTAL PETE CORP COM
2026-01-12 16:00:00,Dividend,TSLY,0.038,36.47,-1.37,TIDAL TRUST II YIELD TSLA ETF
2026-01-12 16:00:00,Dividend,TSLY,0.0,,1.37,TIDAL TRUST II YIELD TSLA ETF
2026-01-06 16:00:00,Dividend,TSLY,0.041,37.59,-1.56,TIDAL TRUST II YIELD TSLA ETF
2026-01-06 16:00:00,Dividend,TSLY,0.0,,1.56,TIDAL TRUST II YIELD TSLA ETF
,Adjustment,CASH,,,,
